"Year","State","PopCode","Sex","Age","AgeInterval","Deaths","LDB"
1982,"XX","99001","f",0,"1",77,1
1982,"XX","99001","f",1,"4",10,1
1982,"XX","99001","f",5,"5",16,1
1982,"XX","99001","f",10,"5",3,1
1982,"XX","99001","f",15,"5",18,1
1982,"XX","99001","f",20,"5",18,1
1982,"XX","99001","f",25,"5",35,1
1982,"XX","99001","f",30,"5",44,1
1982,"XX","99001","f",35,"5",74,1
1982,"XX","99001","f",40,"5",67,1
1982,"XX","99001","f",45,"5",83,1
1982,"XX","99001","f",50,"5",146,1
1982,"XX","99001","f",55,"5",246,1
1982,"XX","99001","f",60,"5",337,1
1982,"XX","99001","f",65,"5",405,1
1982,"XX","99001","f",70,"5",507,1
1982,"XX","99001","f",75,"5",577,1
1982,"XX","99001","f",80,"5",683,1
1982,"XX","99001","f",85,"+",1260,1
1982,"XX","99001","m",0,"1",104,1
1982,"XX","99001","m",1,"4",16,1
1982,"XX","99001","m",5,"5",9,1
1982,"XX","99001","m",10,"5",9,1
1982,"XX","99001","m",15,"5",53,1
1982,"XX","99001","m",20,"5",75,1
1982,"XX","99001","m",25,"5",96,1
1982,"XX","99001","m",30,"5",114,1
1982,"XX","99001","m",35,"5",117,1
1982,"XX","99001","m",40,"5",87,1
1982,"XX","99001","m",45,"5",139,1
1982,"XX","99001","m",50,"5",216,1
1982,"XX","99001","m",55,"5",382,1
1982,"XX","99001","m",60,"5",471,1
1982,"XX","99001","m",65,"5",540,1
1982,"XX","99001","m",70,"5",584,1
1982,"XX","99001","m",75,"5",634,1
1982,"XX","99001","m",80,"5",520,1
1982,"XX","99001","m",85,"+",648,1
1982,"XX","99002","f",0,"1",3,1
1982,"XX","99002","f",1,"4",4,1
1982,"XX","99002","f",5,"5",1,1
1982,"XX","99002","f",15,"5",1,1
1982,"XX","99002","f",20,"5",9,1
1982,"XX","99002","f",25,"5",3,1
1982,"XX","99002","f",30,"5",5,1
1982,"XX","99002","f",35,"5",1,1
1982,"XX","99002","f",40,"5",4,1
1982,"XX","99002","f",45,"5",4,1
1982,"XX","99002","f",50,"5",12,1
1982,"XX","99002","f",55,"5",37,1
1982,"XX","99002","f",60,"5",41,1
1982,"XX","99002","f",65,"5",61,1
1982,"XX","99002","f",70,"5",81,1
1982,"XX","99002","f",75,"5",67,1
1982,"XX","99002","f",80,"5",111,1
1982,"XX","99002","f",85,"+",176,1
1982,"XX","99002","m",0,"1",13,1
1982,"XX","99002","m",1,"4",6,1
1982,"XX","99002","m",15,"5",5,1
1982,"XX","99002","m",20,"5",12,1
1982,"XX","99002","m",25,"5",16,1
1982,"XX","99002","m",30,"5",14,1
1982,"XX","99002","m",35,"5",6,1
1982,"XX","99002","m",40,"5",7,1
1982,"XX","99002","m",45,"5",16,1
1982,"XX","99002","m",50,"5",22,1
1982,"XX","99002","m",55,"5",43,1
1982,"XX","99002","m",60,"5",66,1
1982,"XX","99002","m",65,"5",115,1
1982,"XX","99002","m",70,"5",120,1
1982,"XX","99002","m",75,"5",104,1
1982,"XX","99002","m",80,"5",123,1
1982,"XX","99002","m",85,"+",119,1
1982,"XX","99003","f",50,"5",1,1
1982,"XX","99003","f",55,"5",7,1
1982,"XX","99003","f",65,"5",3,1
1982,"XX","99003","f",70,"5",1,1
1982,"XX","99003","f",75,"5",14,1
1982,"XX","99003","f",80,"5",8,1
1982,"XX","99003","f",85,"+",12,1
1982,"XX","99003","m",25,"5",1,1
1982,"XX","99003","m",30,"5",2,1
1982,"XX","99003","m",35,"5",3,1
1982,"XX","99003","m",45,"5",5,1
1982,"XX","99003","m",50,"5",10,1
1982,"XX","99003","m",55,"5",13,1
1982,"XX","99003","m",60,"5",7,1
1982,"XX","99003","m",65,"5",13,1
1982,"XX","99003","m",70,"5",10,1
1982,"XX","99003","m",75,"5",7,1
1982,"XX","99003","m",80,"5",15,1
1982,"XX","99003","m",85,"+",10,1
1982,"XX","99004","f",15,"5",3,1
1982,"XX","99004","f",35,"5",1,1
1982,"XX","99004","f",40,"5",1,1
1982,"XX","99004","f",45,"5",5,1
1982,"XX","99004","f",50,"5",3,1
1982,"XX","99004","f",55,"5",2,1
1982,"XX","99004","f",60,"5",7,1
1982,"XX","99004","f",65,"5",11,1
1982,"XX","99004","f",70,"5",20,1
1982,"XX","99004","f",75,"5",12,1
1982,"XX","99004","f",80,"5",15,1
1982,"XX","99004","f",85,"+",12,1
1982,"XX","99004","m",15,"5",1,1
1982,"XX","99004","m",25,"5",2,1
1982,"XX","99004","m",30,"5",3,1
1982,"XX","99004","m",40,"5",3,1
1982,"XX","99004","m",50,"5",5,1
1982,"XX","99004","m",55,"5",3,1
1982,"XX","99004","m",60,"5",10,1
1982,"XX","99004","m",65,"5",21,1
1982,"XX","99004","m",70,"5",15,1
1982,"XX","99004","m",75,"5",14,1
1982,"XX","99004","m",80,"5",13,1
1982,"XX","99004","m",85,"+",17,1
1982,"XX","99005","f",0,"1",40,1
1982,"XX","99005","f",1,"4",9,1
1982,"XX","99005","f",10,"5",3,1
1982,"XX","99005","f",15,"5",14,1
1982,"XX","99005","f",20,"5",19,1
1982,"XX","99005","f",25,"5",23,1
1982,"XX","99005","f",30,"5",24,1
1982,"XX","99005","f",35,"5",15,1
1982,"XX","99005","f",40,"5",19,1
1982,"XX","99005","f",45,"5",45,1
1982,"XX","99005","f",50,"5",39,1
1982,"XX","99005","f",55,"5",80,1
1982,"XX","99005","f",60,"5",129,1
1982,"XX","99005","f",65,"5",179,1
1982,"XX","99005","f",70,"5",192,1
1982,"XX","99005","f",75,"5",217,1
1982,"XX","99005","f",80,"5",264,1
1982,"XX","99005","f",85,"+",470,1
1982,"XX","99005","m",0,"1",71,1
1982,"XX","99005","m",1,"4",11,1
1982,"XX","99005","m",5,"5",4,1
1982,"XX","99005","m",10,"5",5,1
1982,"XX","99005","m",15,"5",21,1
1982,"XX","99005","m",20,"5",68,1
1982,"XX","99005","m",25,"5",69,1
1982,"XX","99005","m",30,"5",46,1
1982,"XX","99005","m",35,"5",47,1
1982,"XX","99005","m",40,"5",46,1
1982,"XX","99005","m",45,"5",64,1
1982,"XX","99005","m",50,"5",93,1
1982,"XX","99005","m",55,"5",127,1
1982,"XX","99005","m",60,"5",206,1
1982,"XX","99005","m",65,"5",296,1
1982,"XX","99005","m",70,"5",254,1
1982,"XX","99005","m",75,"5",321,1
1982,"XX","99005","m",80,"5",234,1
1982,"XX","99005","m",85,"+",265,1
1982,"XX","99006","f",0,"1",9,1
1982,"XX","99006","f",1,"4",3,1
1982,"XX","99006","f",5,"5",3,1
1982,"XX","99006","f",15,"5",6,1
1982,"XX","99006","f",20,"5",3,1
1982,"XX","99006","f",25,"5",4,1
1982,"XX","99006","f",30,"5",10,1
1982,"XX","99006","f",35,"5",2,1
1982,"XX","99006","f",40,"5",8,1
1982,"XX","99006","f",45,"5",11,1
1982,"XX","99006","f",50,"5",11,1
1982,"XX","99006","f",55,"5",24,1
1982,"XX","99006","f",60,"5",36,1
1982,"XX","99006","f",65,"5",27,1
1982,"XX","99006","f",70,"5",49,1
1982,"XX","99006","f",75,"5",63,1
1982,"XX","99006","f",80,"5",46,1
1982,"XX","99006","f",85,"+",127,1
1982,"XX","99006","m",0,"1",11,1
1982,"XX","99006","m",1,"4",5,1
1982,"XX","99006","m",5,"5",3,1
1982,"XX","99006","m",10,"5",1,1
1982,"XX","99006","m",15,"5",2,1
1982,"XX","99006","m",20,"5",6,1
1982,"XX","99006","m",25,"5",15,1
1982,"XX","99006","m",30,"5",14,1
1982,"XX","99006","m",35,"5",13,1
1982,"XX","99006","m",40,"5",11,1
1982,"XX","99006","m",45,"5",18,1
1982,"XX","99006","m",50,"5",13,1
1982,"XX","99006","m",55,"5",37,1
1982,"XX","99006","m",60,"5",40,1
1982,"XX","99006","m",65,"5",53,1
1982,"XX","99006","m",70,"5",77,1
1982,"XX","99006","m",75,"5",61,1
1982,"XX","99006","m",80,"5",49,1
1982,"XX","99006","m",85,"+",57,1
1982,"XX","99007","f",0,"1",33,1
1982,"XX","99007","f",1,"4",20,1
1982,"XX","99007","f",5,"5",2,1
1982,"XX","99007","f",10,"5",2,1
1982,"XX","99007","f",15,"5",11,1
1982,"XX","99007","f",20,"5",19,1
1982,"XX","99007","f",25,"5",15,1
1982,"XX","99007","f",30,"5",13,1
1982,"XX","99007","f",35,"5",4,1
1982,"XX","99007","f",40,"5",39,1
1982,"XX","99007","f",45,"5",32,1
1982,"XX","99007","f",50,"5",39,1
1982,"XX","99007","f",55,"5",87,1
1982,"XX","99007","f",60,"5",105,1
1982,"XX","99007","f",65,"5",157,1
1982,"XX","99007","f",70,"5",181,1
1982,"XX","99007","f",75,"5",175,1
1982,"XX","99007","f",80,"5",185,1
1982,"XX","99007","f",85,"+",307,1
1982,"XX","99007","m",0,"1",52,1
1982,"XX","99007","m",1,"4",15,1
1982,"XX","99007","m",5,"5",15,1
1982,"XX","99007","m",10,"5",6,1
1982,"XX","99007","m",15,"5",29,1
1982,"XX","99007","m",20,"5",60,1
1982,"XX","99007","m",25,"5",52,1
1982,"XX","99007","m",30,"5",66,1
1982,"XX","99007","m",35,"5",35,1
1982,"XX","99007","m",40,"5",46,1
1982,"XX","99007","m",45,"5",46,1
1982,"XX","99007","m",50,"5",102,1
1982,"XX","99007","m",55,"5",146,1
1982,"XX","99007","m",60,"5",196,1
1982,"XX","99007","m",65,"5",252,1
1982,"XX","99007","m",70,"5",270,1
1982,"XX","99007","m",75,"5",245,1
1982,"XX","99007","m",80,"5",163,1
1982,"XX","99007","m",85,"+",143,1
1982,"XX","99008","f",5,"5",2,1
1982,"XX","99008","f",25,"5",2,1
1982,"XX","99008","f",35,"5",2,1
1982,"XX","99008","f",40,"5",8,1
1982,"XX","99008","f",45,"5",5,1
1982,"XX","99008","f",50,"5",9,1
1982,"XX","99008","f",55,"5",3,1
1982,"XX","99008","f",60,"5",25,1
1982,"XX","99008","f",65,"5",22,1
1982,"XX","99008","f",70,"5",35,1
1982,"XX","99008","f",75,"5",19,1
1982,"XX","99008","f",80,"5",35,1
1982,"XX","99008","f",85,"+",43,1
1982,"XX","99008","m",0,"1",3,1
1982,"XX","99008","m",10,"5",1,1
1982,"XX","99008","m",20,"5",3,1
1982,"XX","99008","m",25,"5",3,1
1982,"XX","99008","m",30,"5",17,1
1982,"XX","99008","m",35,"5",2,1
1982,"XX","99008","m",40,"5",2,1
1982,"XX","99008","m",45,"5",11,1
1982,"XX","99008","m",50,"5",7,1
1982,"XX","99008","m",55,"5",23,1
1982,"XX","99008","m",60,"5",37,1
1982,"XX","99008","m",65,"5",53,1
1982,"XX","99008","m",70,"5",74,1
1982,"XX","99008","m",75,"5",65,1
1982,"XX","99008","m",80,"5",17,1
1982,"XX","99008","m",85,"+",39,1
1982,"XX","99009","f",0,"1",644,1
1982,"XX","99009","f",1,"4",87,1
1982,"XX","99009","f",5,"5",79,1
1982,"XX","99009","f",10,"5",51,1
1982,"XX","99009","f",15,"5",143,1
1982,"XX","99009","f",20,"5",214,1
1982,"XX","99009","f",25,"5",283,1
1982,"XX","99009","f",30,"5",299,1
1982,"XX","99009","f",35,"5",354,1
1982,"XX","99009","f",40,"5",394,1
1982,"XX","99009","f",45,"5",551,1
1982,"XX","99009","f",50,"5",920,1
1982,"XX","99009","f",55,"5",1460,1
1982,"XX","99009","f",60,"5",2110,1
1982,"XX","99009","f",65,"5",2562,1
1982,"XX","99009","f",70,"5",3133,1
1982,"XX","99009","f",75,"5",3532,1
1982,"XX","99009","f",80,"5",4174,1
1982,"XX","99009","f",85,"+",7654,1
1982,"XX","99009","m",0,"1",873,1
1982,"XX","99009","m",1,"4",166,1
1982,"XX","99009","m",5,"5",104,1
1982,"XX","99009","m",10,"5",88,1
1982,"XX","99009","m",15,"5",405,1
1982,"XX","99009","m",20,"5",779,1
1982,"XX","99009","m",25,"5",878,1
1982,"XX","99009","m",30,"5",712,1
1982,"XX","99009","m",35,"5",720,1
1982,"XX","99009","m",40,"5",753,1
1982,"XX","99009","m",45,"5",1041,1
1982,"XX","99009","m",50,"5",1620,1
1982,"XX","99009","m",55,"5",2320,1
1982,"XX","99009","m",60,"5",2961,1
1982,"XX","99009","m",65,"5",3630,1
1982,"XX","99009","m",70,"5",3809,1
1982,"XX","99009","m",75,"5",3655,1
